timestamp,action,price,pnl
2020-01-02 10:20:00+05:30,BUY,1943.55,0.0
2020-01-02 15:15:00+05:30,SELL,1938.85,-161.0
2020-01-08 14:20:00+05:30,BUY,1923.8,0.0
2020-01-08 15:15:00+05:30,SELL,1930.5,181.0
2020-01-09 13:20:00+05:30,BUY,1939.55,0.0
2020-01-09 15:15:00+05:30,SELL,1934.95,-158.0
2020-01-10 09:35:00+05:30,BUY,1937.3,0.0
2020-01-10 13:40:00+05:30,SELL,1944.25,188.5
2020-01-10 13:55:00+05:30,BUY,1948.75,0.0
2020-01-10 15:15:00+05:30,SELL,1956.6,215.5
2020-01-13 13:35:00+05:30,BUY,1987.4,0.0
2020-01-13 15:15:00+05:30,SELL,1993.35,158.5
2020-01-14 10:05:00+05:30,BUY,1992.7,0.0
2020-01-14 10:30:00+05:30,SELL,2005.0,349.0
2020-01-15 11:55:00+05:30,BUY,2002.95,0.0
2020-01-15 14:15:00+05:30,SELL,2010.3,200.5
2020-01-16 11:05:00+05:30,BUY,2040.0,0.0
2020-01-16 15:15:00+05:30,SELL,2047.05,191.5
2020-01-17 09:35:00+05:30,BUY,2050.45,0.0
2020-01-17 09:55:00+05:30,SELL,2059.95,265.0
2020-01-17 11:25:00+05:30,BUY,2058.45,0.0
2020-01-17 15:15:00+05:30,SELL,2062.2,92.5
2020-01-20 12:20:00+05:30,BUY,2057.7,0.0
2020-01-20 15:15:00+05:30,SELL,2062.1,112.0
2020-01-21 09:50:00+05:30,BUY,2065.0,0.0
2020-01-21 15:15:00+05:30,SELL,2053.4,-368.0
2020-01-22 12:20:00+05:30,BUY,2043.8,0.0
2020-01-22 12:50:00+05:30,SELL,2051.75,218.5
2020-01-22 13:40:00+05:30,BUY,2052.55,0.0
2020-01-22 14:25:00+05:30,SELL,2040.75,-374.0
2020-01-23 12:35:00+05:30,BUY,2045.05,0.0
2020-01-23 14:00:00+05:30,SELL,2045.25,-14.0
2020-01-23 14:05:00+05:30,BUY,2047.5,0.0
2020-01-23 15:15:00+05:30,SELL,2054.05,176.5
2020-01-24 11:20:00+05:30,BUY,2071.65,0.0
2020-01-24 15:15:00+05:30,SELL,2073.0,20.5
2020-01-28 10:55:00+05:30,BUY,2057.0,0.0
2020-01-28 12:20:00+05:30,SELL,2063.65,179.5
2020-01-28 12:45:00+05:30,BUY,2057.9,0.0
2020-01-28 15:15:00+05:30,SELL,2061.25,80.5
2020-01-30 14:25:00+05:30,BUY,2065.5,0.0
2020-01-30 15:15:00+05:30,SELL,2062.0,-125.0
2020-02-03 13:25:00+05:30,BUY,2178.65,0.0
2020-02-03 15:15:00+05:30,SELL,2175.05,-128.0
2020-02-07 14:05:00+05:30,BUY,2153.0,0.0
2020-02-07 15:15:00+05:30,SELL,2161.2,226.0
2020-02-10 09:40:00+05:30,BUY,2161.5,0.0
2020-02-10 10:55:00+05:30,SELL,2166.3,124.0
2020-02-12 14:25:00+05:30,BUY,2264.85,0.0
2020-02-12 15:15:00+05:30,SELL,2261.1,-132.5
2020-02-13 11:30:00+05:30,BUY,2266.35,0.0
2020-02-13 13:30:00+05:30,SELL,2276.85,295.0
2020-02-13 14:00:00+05:30,BUY,2271.5,0.0
2020-02-13 15:15:00+05:30,SELL,2285.35,395.5
2020-02-14 10:20:00+05:30,BUY,2284.1,0.0
2020-02-14 10:25:00+05:30,SELL,2294.7,298.0
2020-02-19 13:55:00+05:30,BUY,2291.25,0.0
2020-02-19 15:15:00+05:30,SELL,2291.85,-2.0
2020-03-02 10:15:00+05:30,BUY,2190.65,0.0
2020-03-02 12:35:00+05:30,SELL,2192.35,31.0
2020-03-04 09:35:00+05:30,BUY,2176.45,0.0
2020-03-04 10:25:00+05:30,SELL,2162.1,-450.5
2020-03-04 14:10:00+05:30,BUY,2164.5,0.0
2020-03-04 15:15:00+05:30,SELL,2171.7,196.0
2020-03-05 12:35:00+05:30,BUY,2245.65,0.0
2020-03-05 13:25:00+05:30,SELL,2233.95,-371.0
2020-03-13 13:55:00+05:30,BUY,2077.0,0.0
2020-03-13 14:15:00+05:30,SELL,2064.05,-408.5
2020-03-16 13:15:00+05:30,BUY,1998.0,0.0
2020-03-16 13:40:00+05:30,SELL,1987.05,-348.5
2020-03-16 13:50:00+05:30,BUY,1997.3,0.0
2020-03-16 14:00:00+05:30,SELL,1986.0,-359.0
2020-03-17 14:15:00+05:30,BUY,2072.15,0.0
2020-03-17 14:20:00+05:30,SELL,2060.55,-368.0
2020-03-18 10:20:00+05:30,BUY,2055.0,0.0
2020-03-18 10:25:00+05:30,SELL,2043.1,-377.0
2020-03-18 10:35:00+05:30,BUY,2042.65,0.0
2020-03-18 11:05:00+05:30,SELL,2024.25,-572.0
2020-03-23 14:05:00+05:30,BUY,1911.95,0.0
2020-03-23 15:15:00+05:30,SELL,1871.75,-1226.0
2020-03-24 12:55:00+05:30,BUY,2012.95,0.0
2020-03-24 14:20:00+05:30,SELL,2061.75,1444.0
2020-03-25 11:25:00+05:30,BUY,2059.35,0.0
2020-03-25 11:50:00+05:30,SELL,2115.65,1669.0
2020-03-26 09:50:00+05:30,BUY,2113.45,0.0
2020-03-26 10:25:00+05:30,SELL,2101.95,-365.0
2020-03-26 12:45:00+05:30,BUY,2095.05,0.0
2020-03-26 13:35:00+05:30,SELL,2131.15,1063.0
2020-03-27 10:15:00+05:30,BUY,2224.35,0.0
2020-03-27 10:25:00+05:30,SELL,2208.15,-506.0
2020-03-30 11:30:00+05:30,BUY,2180.25,0.0
2020-03-30 11:55:00+05:30,SELL,2163.0,-537.5
2020-03-30 13:10:00+05:30,BUY,2172.25,0.0
2020-03-30 15:15:00+05:30,SELL,2185.45,376.0
2020-04-03 09:40:00+05:30,BUY,2197.05,0.0
2020-04-03 09:50:00+05:30,SELL,2180.1,-528.5
2020-04-03 12:55:00+05:30,BUY,2174.95,0.0
2020-04-03 14:15:00+05:30,SELL,2176.65,31.0
2020-04-21 09:30:00+05:30,BUY,2351.45,0.0
2020-04-21 09:35:00+05:30,SELL,2374.9,683.5
2020-04-21 10:45:00+05:30,BUY,2358.8,0.0
2020-04-21 11:10:00+05:30,SELL,2343.9,-467.0
2020-04-22 13:45:00+05:30,BUY,2353.95,0.0
2020-04-22 15:15:00+05:30,SELL,2387.75,994.0
2020-04-23 09:25:00+05:30,BUY,2391.95,0.0
2020-04-23 10:55:00+05:30,SELL,2379.0,-408.5
2020-04-27 10:35:00+05:30,BUY,2301.4,0.0
2020-04-27 10:55:00+05:30,SELL,2287.9,-425.0
2020-04-27 11:50:00+05:30,BUY,2303.9,0.0
2020-04-27 15:15:00+05:30,SELL,2319.0,433.0
2020-05-07 11:55:00+05:30,BUY,1988.95,0.0
2020-05-07 13:25:00+05:30,SELL,1990.25,19.0
2020-05-08 11:00:00+05:30,BUY,2044.4,0.0
2020-05-08 12:25:00+05:30,SELL,2045.65,17.5
2020-05-13 09:50:00+05:30,BUY,2018.45,0.0
2020-05-13 10:20:00+05:30,SELL,2006.4,-381.5
2020-05-13 11:50:00+05:30,BUY,2018.5,0.0
2020-05-13 12:55:00+05:30,SELL,2007.85,-339.5
2020-05-15 10:05:00+05:30,BUY,2010.75,0.0
2020-05-15 12:35:00+05:30,SELL,2026.0,437.5
2020-05-15 13:30:00+05:30,BUY,2022.85,0.0
2020-05-15 15:15:00+05:30,SELL,2033.9,311.5
2020-05-18 14:20:00+05:30,BUY,2009.65,0.0
2020-05-18 15:15:00+05:30,SELL,2002.2,-243.5
2020-05-19 09:35:00+05:30,BUY,2012.95,0.0
2020-05-19 10:05:00+05:30,SELL,1999.05,-437.0
2020-05-20 14:05:00+05:30,BUY,1992.2,0.0
2020-05-20 15:15:00+05:30,SELL,1989.3,-107.0
2020-05-22 11:30:00+05:30,BUY,1974.5,0.0
2020-05-22 14:15:00+05:30,SELL,1990.1,448.0
2020-05-28 14:20:00+05:30,BUY,2006.1,0.0
2020-05-28 15:15:00+05:30,SELL,2010.0,97.0
2020-05-29 10:00:00+05:30,BUY,2013.0,0.0
2020-05-29 12:40:00+05:30,SELL,2024.8,334.0
2020-06-01 11:50:00+05:30,BUY,2107.5,0.0
2020-06-01 13:05:00+05:30,SELL,2132.0,715.0
2020-06-03 13:25:00+05:30,BUY,2124.0,0.0
2020-06-03 14:00:00+05:30,SELL,2136.95,368.5
2020-06-04 13:20:00+05:30,BUY,2118.35,0.0
2020-06-04 15:15:00+05:30,SELL,2124.6,167.5
2020-06-08 09:35:00+05:30,BUY,2095.0,0.0
2020-06-08 10:00:00+05:30,SELL,2084.0,-350.0
2020-06-08 11:35:00+05:30,BUY,2091.45,0.0
2020-06-08 15:15:00+05:30,SELL,2112.9,623.5
2020-06-10 12:05:00+05:30,BUY,2125.0,0.0
2020-06-10 15:15:00+05:30,SELL,2125.4,-8.0
2020-06-11 09:55:00+05:30,BUY,2126.8,0.0
2020-06-11 11:30:00+05:30,SELL,2115.0,-374.0
2020-06-11 12:55:00+05:30,BUY,2123.9,0.0
2020-06-11 14:20:00+05:30,SELL,2110.1,-434.0
2020-06-12 12:20:00+05:30,BUY,2102.8,0.0
2020-06-12 15:15:00+05:30,SELL,2106.35,86.5
2020-06-15 09:35:00+05:30,BUY,2112.25,0.0
2020-06-15 10:25:00+05:30,SELL,2099.0,-417.5
2020-06-16 10:25:00+05:30,BUY,2099.9,0.0
2020-06-16 12:15:00+05:30,SELL,2088.0,-377.0
2020-06-17 13:40:00+05:30,BUY,2089.15,0.0
2020-06-17 15:15:00+05:30,SELL,2077.15,-380.0
2020-06-19 10:05:00+05:30,BUY,2072.7,0.0
2020-06-19 11:20:00+05:30,SELL,2061.5,-356.0
2020-06-19 12:35:00+05:30,BUY,2069.0,0.0
2020-06-19 15:15:00+05:30,SELL,2093.85,725.5
2020-06-22 10:35:00+05:30,BUY,2097.0,0.0
2020-06-22 13:25:00+05:30,SELL,2101.0,100.0
2020-06-22 13:30:00+05:30,BUY,2103.2,0.0
2020-06-22 15:15:00+05:30,SELL,2100.0,-116.0
2020-06-23 12:55:00+05:30,BUY,2156.2,0.0
2020-06-23 15:15:00+05:30,SELL,2155.05,-54.5
2020-06-25 10:30:00+05:30,BUY,2143.45,0.0
2020-06-25 12:40:00+05:30,SELL,2124.2,-597.5
2020-06-26 09:30:00+05:30,BUY,2164.1,0.0
2020-06-26 09:50:00+05:30,SELL,2150.2,-437.0
2020-06-26 12:45:00+05:30,BUY,2153.0,0.0
2020-06-26 15:15:00+05:30,SELL,2154.3,19.0
2020-06-29 09:50:00+05:30,BUY,2164.5,0.0
2020-06-29 10:35:00+05:30,SELL,2185.45,608.5
2020-06-29 12:15:00+05:30,BUY,2185.8,0.0
2020-06-29 15:15:00+05:30,SELL,2182.1,-131.0
2020-06-30 09:50:00+05:30,BUY,2187.5,0.0
2020-06-30 10:05:00+05:30,SELL,2176.3,-356.0
2020-06-30 13:30:00+05:30,BUY,2182.65,0.0
2020-06-30 15:15:00+05:30,SELL,2179.35,-119.0
2020-07-01 13:25:00+05:30,BUY,2174.65,0.0
2020-07-01 13:45:00+05:30,SELL,2162.05,-398.0
2020-07-03 12:10:00+05:30,BUY,2170.95,0.0
2020-07-03 15:15:00+05:30,SELL,2175.4,113.5
2020-07-06 14:10:00+05:30,BUY,2163.05,0.0
2020-07-06 15:15:00+05:30,SELL,2161.8,-57.5
2020-07-10 09:45:00+05:30,BUY,2185.1,0.0
2020-07-10 13:25:00+05:30,SELL,2210.6,745.0
2020-07-10 14:25:00+05:30,BUY,2207.0,0.0
2020-07-10 15:15:00+05:30,SELL,2225.25,527.5
2020-07-13 11:50:00+05:30,BUY,2260.7,0.0
2020-07-13 13:45:00+05:30,SELL,2261.0,-11.0
2020-07-14 12:55:00+05:30,BUY,2253.0,0.0
2020-07-14 13:25:00+05:30,SELL,2238.0,-470.0
2020-07-15 12:30:00+05:30,BUY,2272.5,0.0
2020-07-15 14:25:00+05:30,SELL,2274.95,53.5
2020-07-20 12:25:00+05:30,BUY,2318.05,0.0
2020-07-20 13:40:00+05:30,SELL,2334.0,458.5
2020-07-24 13:50:00+05:30,BUY,2198.15,0.0
2020-07-24 14:10:00+05:30,SELL,2214.0,455.5
2020-07-27 11:40:00+05:30,BUY,2206.95,0.0
2020-07-27 12:00:00+05:30,SELL,2223.9,488.5
2020-07-27 14:15:00+05:30,BUY,2222.05,0.0
2020-07-27 15:15:00+05:30,SELL,2221.0,-51.5
2020-07-28 11:20:00+05:30,BUY,2230.0,0.0
2020-07-28 13:20:00+05:30,SELL,2234.3,109.0
2020-07-29 09:25:00+05:30,BUY,2243.8,0.0
2020-07-29 09:30:00+05:30,SELL,2252.85,251.5
2020-07-29 09:45:00+05:30,BUY,2242.0,0.0
2020-07-29 10:00:00+05:30,SELL,2227.6,-452.0
2020-08-03 11:45:00+05:30,BUY,2211.5,0.0
2020-08-03 15:15:00+05:30,SELL,2207.4,-143.0
2020-08-04 13:00:00+05:30,BUY,2209.95,0.0
2020-08-04 13:25:00+05:30,SELL,2197.4,-396.5
2020-08-06 13:10:00+05:30,BUY,2223.7,0.0
2020-08-06 14:15:00+05:30,SELL,2212.55,-354.5
2020-08-07 10:25:00+05:30,BUY,2221.6,0.0
2020-08-07 13:20:00+05:30,SELL,2224.1,55.0
2020-08-07 13:55:00+05:30,BUY,2227.35,0.0
2020-08-07 15:15:00+05:30,SELL,2207.0,-630.5
2020-08-11 10:15:00+05:30,BUY,2212.0,0.0
2020-08-11 11:15:00+05:30,SELL,2212.9,7.0
2020-08-11 12:10:00+05:30,BUY,2219.6,0.0
2020-08-11 12:45:00+05:30,SELL,2232.05,353.5
2020-08-13 09:55:00+05:30,BUY,2205.8,0.0
2020-08-13 11:40:00+05:30,SELL,2194.65,-354.5
2020-08-13 14:15:00+05:30,BUY,2197.3,0.0
2020-08-13 15:15:00+05:30,SELL,2198.55,17.5
2020-08-14 10:25:00+05:30,BUY,2206.3,0.0
2020-08-14 13:45:00+05:30,SELL,2192.4,-437.0
2020-08-17 11:55:00+05:30,BUY,2182.65,0.0
2020-08-17 15:15:00+05:30,SELL,2197.0,410.5
2020-08-18 10:40:00+05:30,BUY,2197.0,0.0
2020-08-18 13:15:00+05:30,SELL,2210.0,370.0
2020-08-19 10:50:00+05:30,BUY,2210.25,0.0
2020-08-19 15:15:00+05:30,SELL,2193.05,-536.0
2020-08-21 11:45:00+05:30,BUY,2198.55,0.0
2020-08-21 13:35:00+05:30,SELL,2199.5,8.5
2020-08-21 13:40:00+05:30,BUY,2205.0,0.0
2020-08-21 14:15:00+05:30,SELL,2208.1,73.0
2020-08-24 12:10:00+05:30,BUY,2198.75,0.0
2020-08-24 15:15:00+05:30,SELL,2194.0,-162.5
2020-08-26 14:05:00+05:30,BUY,2175.7,0.0
2020-08-26 15:15:00+05:30,SELL,2185.1,262.0
2020-08-27 12:25:00+05:30,BUY,2174.35,0.0
2020-08-27 15:15:00+05:30,SELL,2170.4,-138.5
2020-09-01 12:30:00+05:30,BUY,2139.65,0.0
2020-09-01 15:15:00+05:30,SELL,2166.95,799.0
2020-09-07 12:50:00+05:30,BUY,2167.0,0.0
2020-09-07 13:30:00+05:30,SELL,2156.0,-350.0
2020-09-07 14:05:00+05:30,BUY,2165.0,0.0
2020-09-07 15:15:00+05:30,SELL,2163.1,-77.0
2020-09-08 10:20:00+05:30,BUY,2160.7,0.0
2020-09-08 15:15:00+05:30,SELL,2137.0,-731.0
2020-09-09 13:50:00+05:30,BUY,2140.0,0.0
2020-09-09 15:15:00+05:30,SELL,2130.35,-309.5
2020-09-10 13:15:00+05:30,BUY,2128.7,0.0
2020-09-10 15:15:00+05:30,SELL,2135.5,184.0
2020-09-11 11:20:00+05:30,BUY,2151.2,0.0
2020-09-11 15:15:00+05:30,SELL,2160.2,250.0
2020-09-15 13:15:00+05:30,BUY,2125.85,0.0
2020-09-15 15:15:00+05:30,SELL,2125.0,-45.5
2020-09-16 13:30:00+05:30,BUY,2140.85,0.0
2020-09-16 15:15:00+05:30,SELL,2143.2,50.5
2020-09-23 12:10:00+05:30,BUY,2042.4,0.0
2020-09-23 15:15:00+05:30,SELL,2050.85,233.5
2020-09-24 10:45:00+05:30,BUY,2045.45,0.0
2020-09-24 11:25:00+05:30,SELL,2070.0,716.5
2020-09-24 13:10:00+05:30,BUY,2060.9,0.0
2020-09-24 13:55:00+05:30,SELL,2071.8,307.0
2020-09-25 11:55:00+05:30,BUY,2101.05,0.0
2020-09-25 14:05:00+05:30,SELL,2090.1,-348.5
2020-09-29 12:55:00+05:30,BUY,2058.95,0.0
2020-09-29 15:15:00+05:30,SELL,2031.95,-830.0
2020-09-30 14:05:00+05:30,BUY,2088.6,0.0
2020-09-30 15:15:00+05:30,SELL,2063.55,-771.5
2020-10-01 10:00:00+05:30,BUY,2085.0,0.0
2020-10-01 11:45:00+05:30,SELL,2096.95,338.5
2020-10-07 14:20:00+05:30,BUY,2139.75,0.0
2020-10-07 15:15:00+05:30,SELL,2139.1,-39.5
2020-10-08 12:25:00+05:30,BUY,2160.0,0.0
2020-10-08 15:15:00+05:30,SELL,2164.35,110.5
2020-10-12 13:20:00+05:30,BUY,2136.9,0.0
2020-10-12 15:15:00+05:30,SELL,2139.7,64.0
2020-10-13 10:50:00+05:30,BUY,2144.85,0.0
2020-10-13 12:35:00+05:30,SELL,2134.1,-342.5
2020-10-13 14:10:00+05:30,BUY,2139.5,0.0
2020-10-13 15:15:00+05:30,SELL,2139.4,-23.0
2020-10-14 11:25:00+05:30,BUY,2146.55,0.0
2020-10-14 15:15:00+05:30,SELL,2159.25,361.0
2020-10-15 09:55:00+05:30,BUY,2156.85,0.0
2020-10-15 11:00:00+05:30,SELL,2173.9,491.5
2020-10-16 09:30:00+05:30,BUY,2165.25,0.0
2020-10-16 09:50:00+05:30,SELL,2154.0,-357.5
2020-10-16 12:00:00+05:30,BUY,2164.2,0.0
2020-10-16 13:45:00+05:30,SELL,2153.25,-348.5
2020-10-19 10:30:00+05:30,BUY,2162.45,0.0
2020-10-19 13:45:00+05:30,SELL,2171.0,236.5
2020-10-22 12:45:00+05:30,BUY,2170.1,0.0
2020-10-22 12:55:00+05:30,SELL,2182.1,340.0
2020-10-22 13:35:00+05:30,BUY,2169.7,0.0
2020-10-22 15:15:00+05:30,SELL,2182.6,367.0
2020-10-23 09:30:00+05:30,BUY,2178.95,0.0
2020-10-23 09:50:00+05:30,SELL,2163.0,-498.5
2020-10-26 09:40:00+05:30,BUY,2153.5,0.0
2020-10-26 14:00:00+05:30,SELL,2154.6,13.0
2020-10-27 12:10:00+05:30,BUY,2184.55,0.0
2020-10-27 13:30:00+05:30,SELL,2172.4,-384.5
2020-10-28 13:50:00+05:30,BUY,2160.0,0.0
2020-10-28 15:15:00+05:30,SELL,2167.0,190.0
2020-11-02 14:10:00+05:30,BUY,2072.95,0.0
2020-11-02 15:15:00+05:30,SELL,2072.85,-23.0
2020-11-05 13:10:00+05:30,BUY,2107.65,0.0
2020-11-05 15:15:00+05:30,SELL,2104.0,-129.5
2020-11-06 12:10:00+05:30,BUY,2110.05,0.0
2020-11-06 13:20:00+05:30,SELL,2097.1,-408.5
2020-11-09 11:10:00+05:30,BUY,2128.0,0.0
2020-11-09 11:40:00+05:30,SELL,2116.75,-357.5
2020-11-11 12:40:00+05:30,BUY,2123.8,0.0
2020-11-11 15:15:00+05:30,SELL,2130.0,166.0
2020-11-12 10:20:00+05:30,BUY,2145.3,0.0
2020-11-12 13:50:00+05:30,SELL,2164.65,560.5
2020-11-13 10:00:00+05:30,BUY,2194.5,0.0
2020-11-13 12:00:00+05:30,SELL,2203.0,235.0
2020-11-20 09:50:00+05:30,BUY,2137.0,0.0
2020-11-20 10:45:00+05:30,SELL,2123.05,-438.5
2020-11-24 10:15:00+05:30,BUY,2133.5,0.0
2020-11-24 12:20:00+05:30,SELL,2158.5,730.0
2020-11-24 13:50:00+05:30,BUY,2154.5,0.0
2020-11-24 15:15:00+05:30,SELL,2159.4,127.0
2020-11-25 09:50:00+05:30,BUY,2160.1,0.0
2020-11-25 10:10:00+05:30,SELL,2147.6,-395.0
2020-11-25 13:15:00+05:30,BUY,2150.6,0.0
